SA_iterations,fitness,time,fevals
2370,0.0531937081993,0.002805419992,2381
2380,0.0531937081993,0.00281526599247,2391
2390,0.0531937081993,0.00282547699317,2401
2400,0.0534627721779,0.00283459399361,2411
2410,0.0534908877922,0.00285136899402,2421
2420,0.0540080341996,0.00286085099287,2431
2430,0.0540080341996,0.00286996799332,2441
2440,0.0540707118692,0.00289841199447,2451
2450,0.0540810048506,0.00291372799438,2461
2460,0.0540810048506,0.00292320999506,2471
2470,0.0540810048506,0.00293196199527,2481
2480,0.0540810048506,0.00294071399549,2491
2490,0.0540810048506,0.0029494659957,2501
2500,0.0540810048506,0.00295785299568,2511
2510,0.0540810048506,0.0029662409961,2521
2520,0.0540810048506,0.00297462799608,2531
2530,0.0540810048506,0.00298265099627,2541
2540,0.0541292424049,0.0029910389967,2551
2550,0.0541292424049,0.00299942699712,2561
2560,0.0541292424049,0.0030078139971,2571
2570,0.0541292424049,0.00301620099708,2581
2580,0.0541500158287,0.00302458799706,2591
2590,0.0541722841382,0.00303297499704,2601
2600,0.0544467464858,0.00304136199702,2611
2610,0.0547508668189,0.003049748997,2621
2620,0.0547740019106,0.00305813599698,2631
2630,0.0547740019106,0.00306652299696,2641
2640,0.0547740019106,0.00307491099738,2651
2650,0.0547740019106,0.00308329799736,2661
2660,0.0547740019106,0.00309131999711,2671
2670,0.0547740019106,0.00309970799572,2681
2680,0.0547740019106,0.00310773099591,2691
2690,0.0548334643635,0.00311684799635,2701
2700,0.0548334643635,0.00312523599678,2711
2710,0.0557128843373,0.00313435199678,2721
2720,0.0557128843373,0.00314273899676,2731
2730,0.0557128843373,0.00315112599674,2741
2740,0.0557128843373,0.00316680699689,2751
2750,0.0562899876495,0.00317628899757,2761
2760,0.0562899876495,0.00318649899782,2771
2770,0.0562899876495,0.00319597999805,2781
2780,0.0563100165019,0.0032050969985,2791
2790,0.0564160285826,0.00321457799873,2801
2800,0.0564160285826,0.00322405899897,2811
2810,0.0565551155577,0.00323390499943,2821
2820,0.0565551155577,0.00324338599967,2831
2830,0.0565551155577,0.00325213799988,2841
2840,0.0565551155577,0.00326162000056,2851
2850,0.0565551155577,0.00327073699918,2861
2860,0.0565551155577,0.0032794889994,2871
2870,0.0566864427214,0.00328824099961,2881
2880,0.0566864427214,0.00331048600128,2891
2890,0.0566864427214,0.00331887300126,2901
2900,0.0566864427214,0.00332726100169,2911
2910,0.0566864427214,0.0033360130019,2921
2920,0.0568037356247,0.00334440000188,2931
2930,0.0570477582526,0.0033527880023,2941
2940,0.0572228645436,0.00338269100212,2951
2950,0.0572228645436,0.00339180800256,2961
2960,0.0572228645436,0.00340019500254,2971
2970,0.0572822817728,0.00340821800273,2981
2980,0.0572822817728,0.00341697000295,2991
2990,0.0572822817728,0.00342535700293,3001
3000,0.0572822817728,0.00343338000312,3011
